"POLYGON ((12.572006383877559 6.639584353600233, 12.550522981995318 6.621328270709483, 12.553710236602116 6.608703499733667, 12.58798987132404 6.610031140464807, 12.572006383877559 6.639584353600233))"
"POLYGON ((12.442861854892058 6.879295367857363, 12.424582916142457 6.872909526162999, 12.424541128941081 6.872862628802139, 12.423385077129257 6.871433941717417, 12.442861854892058 6.879295367857363))"
"POLYGON ((12.432385853176289 8.313896532396472, 12.409505134270061 8.331773138389016, 12.393851938331794 8.31928396403997, 12.393812020035165 8.31918113026253, 12.432385853176289 8.313896532396472))"
"POLYGON ((12.756354603691294 6.499318362200349, 12.72676469224113 6.506456021404785, 12.721934521976957 6.47909168123274, 12.736691725828628 6.4703565917222, 12.756354603691294 6.499318362200349))"
"POLYGON ((12.637594593851299 6.645909030567705, 12.627922451943494 6.655537753167764, 12.602998595221226 6.648707978214519, 12.638313715782505 6.630628428064855, 12.637594593851299 6.645909030567705))"
"POLYGON ((12.633844596856221 6.735838566620561, 12.629807941117788 6.733781909223242, 12.622068347647582 6.71022316714875, 12.660798958148018 6.715715818094034, 12.633844596856221 6.735838566620561))"
"POLYGON ((12.493759527848301 6.8145634565746835, 12.488051432367202 6.811252562137453, 12.48134010407711 6.800449403871405, 12.501571500514197 6.775859465941262, 12.493759527848301 6.8145634565746835))"
"POLYGON ((12.68384365065933 7.126107903833258, 12.666397655406513 7.128201322203081, 12.654061048707195 7.115801751384293, 12.692070725410566 7.103353443216065, 12.68384365065933 7.126107903833258))"
"POLYGON ((12.45332823486514 6.756300524960197, 12.451514331824413 6.7619925616293015, 12.443273708116898 6.735648735644889, 12.452955772667773 6.748187405755344, 12.45332823486514 6.756300524960197))"
"POLYGON ((12.499787360737294 6.825632719469542, 12.5057678020003 6.7874622327177905, 12.511913706519492 6.791714313443715, 12.516539838062615 6.799141019191726, 12.499787360737294 6.825632719469542))"
"POLYGON ((12.45784575339488 7.119503282661706, 12.462255578641845 7.08778784805573, 12.488332814868604 7.093863471956225, 12.491056988119656 7.099475587602369, 12.45784575339488 7.119503282661706))"
"POLYGON ((12.664341427470582 7.726752023886904, 12.649230717331061 7.715365703072172, 12.648222523725963 7.701277130994529, 12.68738770101769 7.706651735039305, 12.664341427470582 7.726752023886904))"
"POLYGON ((12.51356810606721 6.776389081019552, 12.474211586480322 6.778838849228066, 12.49992270680716 6.755262811030976, 12.509960544489859 6.762645607208247, 12.51356810606721 6.776389081019552))"
