"POLYGON ((13.666367514162314 6.902509306268958, 13.665680787017095 6.9040584629173, 13.65612721058552 6.913350022293012, 13.631846913143596 6.883066412578951, 13.666367514162314 6.902509306268958))"
"POLYGON ((13.784020192933104 7.342491258277284, 13.769595145034915 7.359793731762058, 13.746639503513673 7.350288501322697, 13.78349997946515 7.335643034201096, 13.784020192933104 7.342491258277284))"
"POLYGON ((14.006420738836391 7.429859275125857, 13.988633476090344 7.4413836576487755, 13.987774025379066 7.441379341080674, 13.989941315105655 7.401453487054555, 14.006420738836391 7.429859275125857))"
"POLYGON ((13.651724096251165 6.5524045941750275, 13.663990918200161 6.543795658534775, 13.673543906056135 6.543922400854323, 13.686968143022577 6.5555785741342705, 13.651724096251165 6.5524045941750275))"
"POLYGON ((13.98865105093033 6.82855434255804, 13.952932410257205 6.840750128767549, 13.961939734837937 6.8095447051928915, 13.978781498391388 6.81113982591406, 13.98865105093033 6.82855434255804))"
"POLYGON ((13.861873946456278 6.79987968357127, 13.834664973168275 6.812890701905383, 13.837268946067859 6.775257099524765, 13.838290854138453 6.775003136484484, 13.861873946456278 6.79987968357127))"
"POLYGON ((14.672636537097596 7.917314531191362, 14.67167591273958 7.918612853284373, 14.64235883781266 7.920617494070211, 14.640514157043857 7.893534080007185, 14.672636537097596 7.917314531191362))"
"POLYGON ((14.491137077381333 6.648501902019518, 14.486651043196368 6.646116619220426, 14.485178158940615 6.614619819102373, 14.517670670578882 6.6251906979889075, 14.491137077381333 6.648501902019518))"
"POLYGON ((13.75740866869649 7.529208290516424, 13.742330859430483 7.539832287516614, 13.73438905498307 7.539309328002037, 13.72044910328493 7.525617492922756, 13.75740866869649 7.529208290516424))"
"POLYGON ((14.657289184507587 6.528127011985748, 14.638196026294905 6.514475303842993, 14.637691668409225 6.503554659101272, 14.642981958489637 6.494023187770017, 14.657289184507587 6.528127011985748))"
"POLYGON ((13.613096584096654 6.91715776741621, 13.591206589184633 6.885192239446748, 13.59132331423512 6.8850600430070035, 13.610699810134117 6.878863325250292, 13.613096584096654 6.91715776741621))"
"POLYGON ((13.90226241728632 7.93891945315267, 13.898818552060252 7.899973272155353, 13.901741985421104 7.899301441966505, 13.923451652424788 7.911993538178375, 13.90226241728632 7.93891945315267))"
"POLYGON ((13.855174622624887 6.995659598825099, 13.852827462418544 7.004227405149619, 13.850214989868922 7.007995484905847, 13.85223187463546 6.9843176923609525, 13.855174622624887 6.995659598825099))"
"POLYGON ((13.61240316074447 6.517818540224425, 13.599142029020426 6.522119401741103, 13.592255370504107 6.52058144755267, 13.589269126048286 6.485253196953927, 13.61240316074447 6.517818540224425))"
"POLYGON ((13.715275414496588 6.4919611448406025, 13.689150983113057 6.502959514598138, 13.677430598565847 6.4792354493464295, 13.681999960333016 6.4709339822862555, 13.715275414496588 6.4919611448406025))"
"POLYGON ((14.525993534635415 7.166320111998218, 14.52492949917224 7.170894123475025, 14.52128480297515 7.177142207053852, 14.525238129172603 7.158245340194253, 14.525993534635415 7.166320111998218))"
"POLYGON ((13.91497596869512 6.845012086155783, 13.90835807791278 6.856391374803822, 13.891487554454791 6.860832311425247, 13.912562123208858 6.831036472188118, 13.91497596869512 6.845012086155783))"
"POLYGON ((14.28554965721496 6.788176035148775, 14.274279417566675 6.793154221463837, 14.273759505021983 6.793201024480243, 14.258449612707102 6.787758104150454, 14.28554965721496 6.788176035148775))"
"POLYGON ((13.617346946015113 6.89786169689823, 13.608199389378237 6.907597871838347, 13.607552618576571 6.90791670817869, 13.580118095594477 6.883326930587948, 13.617346946015113 6.89786169689823))"
"POLYGON ((13.739017341361793 6.4871741371169, 13.721671877015522 6.506881747960379, 13.699080066807928 6.485480110315043, 13.72205328206858 6.4672903651395215, 13.739017341361793 6.4871741371169))"
"POLYGON ((13.836202976781973 7.032622947967946, 13.815535195465761 7.028835426039691, 13.809253414565946 7.010444633392963, 13.843143149556203 6.999912030142059, 13.836202976781973 7.032622947967946))"
