BinIndex;BinRange;Count
Bin0;0.0000000000-500.0000000000;0
Bin1;500.0000000000-1000.0000000000;0
Bin2;1000.0000000000-1500.0000000000;0
Bin3;1500.0000000000-2000.0000000000;0
Bin4;2000.0000000000-2500.0000000000;0
Bin5;2500.0000000000-3000.0000000000;0
Bin6;3000.0000000000-3500.0000000000;0
Bin7;3500.0000000000-4000.0000000000;0
Bin8;4000.0000000000-4500.0000000000;0
Bin9;4500.0000000000-5000.0000000000;0
Bin10;5000.0000000000-5500.0000000000;0
Bin11;5500.0000000000-6000.0000000000;0
Bin12;6000.0000000000-6500.0000000000;0
Bin13;6500.0000000000-7000.0000000000;0
Bin14;7000.0000000000-7500.0000000000;0
Bin15;7500.0000000000-8000.0000000000;0
Bin16;8000.0000000000-8500.0000000000;0
Bin17;8500.0000000000-9000.0000000000;0
Bin18;9000.0000000000-9500.0000000000;0
Bin19;9500.0000000000-10000.0000000000;0
Bin20;10000.0000000000-10500.0000000000;0
Bin21;10500.0000000000-11000.0000000000;0
Bin22;11000.0000000000-11500.0000000000;0
Bin23;11500.0000000000-12000.0000000000;0
Bin24;12000.0000000000-12500.0000000000;0
Bin25;12500.0000000000-13000.0000000000;0
Bin26;13000.0000000000-13500.0000000000;0
Bin27;13500.0000000000-14000.0000000000;0
Bin28;14000.0000000000-14500.0000000000;0
Bin29;14500.0000000000-15000.0000000000;0
Bin30;15000.0000000000-15500.0000000000;0
Bin31;15500.0000000000-16000.0000000000;0
Bin32;16000.0000000000-16500.0000000000;0
Bin33;16500.0000000000-17000.0000000000;0
Bin34;17000.0000000000-17500.0000000000;0
Bin35;17500.0000000000-18000.0000000000;0
Bin36;18000.0000000000-18500.0000000000;0
Bin37;18500.0000000000-19000.0000000000;0
Bin38;19000.0000000000-19500.0000000000;0
Bin39;19500.0000000000-20000.0000000000;0
Bin40;20000.0000000000-20500.0000000000;0
Bin41;20500.0000000000-21000.0000000000;0
Bin42;21000.0000000000-21500.0000000000;0
Bin43;21500.0000000000-22000.0000000000;0
Bin44;22000.0000000000-22500.0000000000;0
Bin45;22500.0000000000-23000.0000000000;0
Bin46;23000.0000000000-23500.0000000000;0
Bin47;23500.0000000000-24000.0000000000;0
Bin48;24000.0000000000-24500.0000000000;0
Bin49;24500.0000000000-25000.0000000000;0
Bin50;25000.0000000000-25500.0000000000;0
Bin51;25500.0000000000-26000.0000000000;0
Bin52;26000.0000000000-26500.0000000000;0
Bin53;26500.0000000000-27000.0000000000;0
Bin54;27000.0000000000-27500.0000000000;0
Bin55;27500.0000000000-28000.0000000000;0
Bin56;28000.0000000000-28500.0000000000;0
Bin57;28500.0000000000-29000.0000000000;0
Bin58;29000.0000000000-29500.0000000000;0
Bin59;29500.0000000000-30000.0000000000;0
Bin60;30000.0000000000-30500.0000000000;0
Bin61;30500.0000000000-31000.0000000000;0
Bin62;31000.0000000000-31500.0000000000;0
Bin63;31500.0000000000-32000.0000000000;0
Bin64;32000.0000000000-32500.0000000000;0
Bin65;32500.0000000000-33000.0000000000;0
Bin66;33000.0000000000-33500.0000000000;0
Bin67;33500.0000000000-34000.0000000000;0
Bin68;34000.0000000000-34500.0000000000;0
Bin69;34500.0000000000-35000.0000000000;0
Bin70;35000.0000000000-35500.0000000000;0
Bin71;35500.0000000000-36000.0000000000;0
Bin72;36000.0000000000-36500.0000000000;0
Bin73;36500.0000000000-37000.0000000000;0
Bin74;37000.0000000000-37500.0000000000;0
Bin75;37500.0000000000-38000.0000000000;0
Bin76;38000.0000000000-38500.0000000000;0
Bin77;38500.0000000000-39000.0000000000;0
Bin78;39000.0000000000-39500.0000000000;0
Bin79;39500.0000000000-40000.0000000000;0
Bin80;40000.0000000000-40500.0000000000;0
Bin81;40500.0000000000-41000.0000000000;0
Bin82;41000.0000000000-41500.0000000000;0
Bin83;41500.0000000000-42000.0000000000;0
Bin84;42000.0000000000-42500.0000000000;0
Bin85;42500.0000000000-43000.0000000000;0
Bin86;43000.0000000000-43500.0000000000;0
Bin87;43500.0000000000-44000.0000000000;0
Bin88;44000.0000000000-44500.0000000000;0
Bin89;44500.0000000000-45000.0000000000;0
Bin90;45000.0000000000-45500.0000000000;0
Bin91;45500.0000000000-46000.0000000000;0
Bin92;46000.0000000000-46500.0000000000;0
Bin93;46500.0000000000-47000.0000000000;0
Bin94;47000.0000000000-47500.0000000000;0
Bin95;47500.0000000000-48000.0000000000;0
Bin96;48000.0000000000-48500.0000000000;0
Bin97;48500.0000000000-49000.0000000000;0
Bin98;49000.0000000000-49500.0000000000;0
Bin99;49500.0000000000-50000.0000000000;0
Bin100;50000.0000000000-50500.0000000000;0
Bin101;50500.0000000000-51000.0000000000;0
Bin102;51000.0000000000-51500.0000000000;0
Bin103;51500.0000000000-52000.0000000000;0
Bin104;52000.0000000000-52500.0000000000;0
Bin105;52500.0000000000-53000.0000000000;0
Bin106;53000.0000000000-53500.0000000000;0
Bin107;53500.0000000000-54000.0000000000;0
Bin108;54000.0000000000-54500.0000000000;0
Bin109;54500.0000000000-55000.0000000000;0
Bin110;55000.0000000000-55500.0000000000;0
Bin111;55500.0000000000-56000.0000000000;0
Bin112;56000.0000000000-56500.0000000000;0
Bin113;56500.0000000000-57000.0000000000;0
Bin114;57000.0000000000-57500.0000000000;0
Bin115;57500.0000000000-58000.0000000000;0
Bin116;58000.0000000000-58500.0000000000;0
Bin117;58500.0000000000-59000.0000000000;0
Bin118;59000.0000000000-59500.0000000000;0
Bin119;59500.0000000000-60000.0000000000;0
Bin120;60000.0000000000-60500.0000000000;0
Bin121;60500.0000000000-61000.0000000000;0
Bin122;61000.0000000000-61500.0000000000;0
Bin123;61500.0000000000-62000.0000000000;0
Bin124;62000.0000000000-62500.0000000000;0
Bin125;62500.0000000000-63000.0000000000;0
Bin126;63000.0000000000-63500.0000000000;0
Bin127;63500.0000000000-64000.0000000000;0
Bin128;64000.0000000000-64500.0000000000;0
Bin129;64500.0000000000-65000.0000000000;0
Bin130;65000.0000000000-65500.0000000000;0
Bin131;65500.0000000000-66000.0000000000;0
Bin132;66000.0000000000-66500.0000000000;0
Bin133;66500.0000000000-67000.0000000000;0
