BinIndex;BinRange;Count
Bin0;0.0000000000-37.2800000000;0
Bin1;37.2800000000-74.5600000000;0
Bin2;74.5600000000-111.8400000000;0
Bin3;111.8400000000-149.1200000000;0
Bin4;149.1200000000-186.4000000000;0
Bin5;186.4000000000-223.6800000000;0
Bin6;223.6800000000-260.9600000000;0
Bin7;260.9600000000-298.2400000000;0
Bin8;298.2400000000-335.5200000000;0
Bin9;335.5200000000-372.8000000000;0
Bin10;372.8000000000-410.0800000000;0
Bin11;410.0800000000-447.3600000000;0
Bin12;447.3600000000-484.6400000000;0
Bin13;484.6400000000-521.9200000000;0
Bin14;521.9200000000-559.2000000000;0
Bin15;559.2000000000-596.4800000000;0
Bin16;596.4800000000-633.7600000000;0
Bin17;633.7600000000-671.0400000000;0
Bin18;671.0400000000-708.3200000000;0
Bin19;708.3200000000-745.6000000000;0
Bin20;745.6000000000-782.8800000000;0
Bin21;782.8800000000-820.1600000000;0
Bin22;820.1600000000-857.4400000000;0
Bin23;857.4400000000-894.7200000000;0
Bin24;894.7200000000-932.0000000000;0
Bin25;932.0000000000-969.2800000000;0
Bin26;969.2800000000-1006.5600000000;0
Bin27;1006.5600000000-1043.8400000000;0
Bin28;1043.8400000000-1081.1200000000;0
Bin29;1081.1200000000-1118.4000000000;0
Bin30;1118.4000000000-1155.6800000000;0
Bin31;1155.6800000000-1192.9600000000;0
Bin32;1192.9600000000-1230.2400000000;0
Bin33;1230.2400000000-1267.5200000000;0
Bin34;1267.5200000000-1304.8000000000;0
Bin35;1304.8000000000-1342.0800000000;0
Bin36;1342.0800000000-1379.3600000000;0
Bin37;1379.3600000000-1416.6400000000;0
Bin38;1416.6400000000-1453.9200000000;0
Bin39;1453.9200000000-1491.2000000000;1
Bin40;1491.2000000000-1528.4800000000;0
Bin41;1528.4800000000-1565.7600000000;0
Bin42;1565.7600000000-1603.0400000000;0
Bin43;1603.0400000000-1640.3200000000;1
Bin44;1640.3200000000-1677.6000000000;0
Bin45;1677.6000000000-1714.8800000000;0
Bin46;1714.8800000000-1752.1600000000;0
Bin47;1752.1600000000-1789.4400000000;0
Bin48;1789.4400000000-1826.7200000000;0
Bin49;1826.7200000000-1864.0000000000;1
